YR element hits in Ebre
=====================================================================================================================================================================================
Fragment(species:contig:YR_start_on_contig)    Structure_Indication    start_on_contig    end_on_contig    Contig_length    Fragment_length     YR_evalue     RT_evalue     MT_evalue
                      Ebre:contig_188625:47                 YR_only                  1             1012             1012               1012    6.6112e-33             -             -
                      Ebre:contig_31691:335                 YR_only                  1             1362             1362               1362    7.0133e-33             -             -
                        Ebre:contig_193:413                 YR_only                  1             1359             1359               1359    9.5379e-33             -             -
                     Ebre:contig_103893:178                 YR_only                  1             1074             1074               1074    1.5663e-32             -             -
                     Ebre:contig_145266:182             two_domains                  1             1616             1616               1616    2.0344e-32             -    5.1493e-09
                     Ebre:contig_183878:243                 YR_only                  1             1297             1297               1297    2.1539e-32             -             -
                       Ebre:contig_60939:63                 YR_only                  1              821              821                821    2.7776e-32             -             -
                      Ebre:contig_33680:184             two_domains                  1             3966             3966               3966    5.8938e-32    1.1996e-37             -
                      Ebre:contig_359575:75                 YR_only                  1             1102             1102               1102    1.2634e-31             -             -
                     Ebre:contig_111236:134                 YR_only                  1             1189             1189               1189    2.3119e-31             -             -
                       Ebre:contig_573363:2                 YR_only                  1              529              529                529    2.4146e-31             -             -
                       Ebre:contig_3354:290                 YR_only                  1             1025             1025               1025    8.9944e-31             -             -
                         Ebre:contig_3354:3                 YR_only                  1             1025             1025               1025    8.9944e-31             -             -
                      Ebre:contig_29363:217                 YR_only                  1             1107             1107               1107    1.8660e-30             -             -
                      Ebre:contig_26692:759                 YR_only                  1             1509             1509               1509    5.8930e-30             -             -
                      Ebre:contig_74617:735                 YR_only                  1             2030             2030               2030    8.5577e-30             -             -
                       Ebre:contig_355189:3             two_domains                  1             1274             1274               1274    9.4585e-30             -    5.7113e-39
                     Ebre:contig_355189:502             two_domains                  1             1274             1274               1274    9.4585e-30             -    5.7113e-39
                      Ebre:contig_32461:268                 YR_only                  1             1052             1052               1052    1.1345e-29             -             -
                     Ebre:contig_234528:211                 YR_only                  1             1145             1145               1145    2.9515e-29             -             -
                       Ebre:contig_332004:3                 YR_only                  1             1006             1006               1006    3.7371e-29             -             -
                     Ebre:contig_52427:1065             two_domains                  1             1966             1966               1966    3.7755e-29             -    1.1088e-33
                      Ebre:contig_43068:528                 YR_only                  1             1418             1418               1418    4.6202e-29             -             -
                     Ebre:contig_459878:218                 YR_only                  1              941              941                941    1.6216e-28             -             -
                      Ebre:contig_54376:254                 YR_only                  1             1257             1257               1257    2.2459e-28             -             -
                      Ebre:contig_54376:703                 YR_only                  1             1257             1257               1257    2.2459e-28             -             -
                     Ebre:contig_136889:359                 YR_only                  1             1408             1408               1408    8.6983e-28             -             -
                     Ebre:contig_381418:107                 YR_only                  1              917              917                917    1.5075e-27             -             -
                      Ebre:contig_107093:94                 YR_only                  1             1186             1186               1186    1.7139e-27             -             -
                     Ebre:contig_40490:3577                    DIRS                  1             4601             4601               4601    2.9819e-27    2.5006e-37    4.3376e-32
                      Ebre:contig_40104:240                 YR_only                  1             1202             1202               1202    4.8275e-27             -             -
                        Ebre:contig_98342:8                 YR_only                  1              754              754                754    4.8763e-27             -             -
                     Ebre:contig_160719:952                 YR_only                  1             1702             1702               1702    5.0774e-27             -             -
                      Ebre:contig_66209:501                 YR_only                  1             2173             2173               2173    1.4731e-26             -             -
                      Ebre:contig_45009:343                 YR_only                  1             1405             1405               1405    3.1644e-26             -             -
                     Ebre:contig_185818:268                 YR_only                  1             1418             1418               1418    3.2419e-26             -             -
                     Ebre:contig_185818:849                 YR_only                  1             1418             1418               1418    8.2159e-05             -             -
                     Ebre:contig_277568:133                 YR_only                  1             1102             1102               1102    4.9796e-26             -             -
                      Ebre:contig_86423:304                 YR_only                  1              737              737                737    5.9557e-26             -             -
                        Ebre:contig_86423:2                 YR_only                  1              737              737                737    5.9557e-26             -             -
                      Ebre:contig_67848:134                 YR_only                  1             1261             1261               1261    7.4269e-26             -             -
                      Ebre:contig_67848:640                 YR_only                  1             1261             1261               1261    7.4269e-26             -             -
                     Ebre:contig_43447:2097                    DIRS                  1             4179             4179               4179    3.9227e-25    4.7018e-43    8.7567e-37
                     Ebre:contig_103151:334                 YR_only                  1             1110             1110               1110    3.9080e-24             -             -
                     Ebre:contig_103151:987                 YR_only                  1             1110             1110               1110    3.9080e-24             -             -
                     Ebre:contig_321877:100                 YR_only                  1              873              873                873    4.7382e-24             -             -
                      Ebre:contig_20800:283                 YR_only                  1             1196             1196               1196    8.2501e-24             -             -
                      Ebre:contig_29076:571             two_domains                  1             1597             1597               1597    3.1845e-23             -    2.7953e-11
                     Ebre:contig_29076:1169             two_domains                  1             1597             1597               1597    3.1336e-03             -    2.7953e-11
                      Ebre:contig_103152:76                 YR_only                  1             1100             1100               1100    6.1024e-23             -             -
                     Ebre:contig_397641:326                 YR_only                  1             1240             1240               1240    6.3648e-23             -             -
                     Ebre:contig_290912:259             two_domains                  1             1678             1678               1678    7.2307e-23             -    1.6126e-36
                     Ebre:contig_116478:307                 YR_only                  1             1141             1141               1141    1.2744e-22             -             -
                      Ebre:contig_49299:182                 YR_only                  1              648              648                648    1.6243e-22             -             -
                     Ebre:contig_139431:118                 YR_only                  1              815              815                815    9.2769e-22             -             -
                     Ebre:contig_70499:1024             two_domains                  1             1881             1881               1881    9.9766e-22             -    3.9875e-31
                      Ebre:contig_81488:185                 YR_only                  1             1202             1202               1202    1.3919e-21             -             -
                      Ebre:contig_92659:171                 YR_only                  1             1241             1241               1241    7.3894e-21             -             -
                     Ebre:contig_433691:453                 YR_only                  1             1209             1209               1209    1.2949e-20             -             -
                      Ebre:contig_50915:612                 YR_only                  1             1709             1709               1709    1.5647e-20             -             -
                      Ebre:contig_567026:75                 YR_only                  1              428              428                428    2.9443e-20             -             -
                      Ebre:contig_267497:71                 YR_only                  1              691              691                691    5.5875e-20             -             -
                     Ebre:contig_142814:500                 YR_only                  1             1084             1084               1084    6.1826e-20             -             -
                     Ebre:contig_503258:630                 YR_only                  1             1030             1030               1030    8.7501e-20             -             -
                     Ebre:contig_503258:421                 YR_only                  1             1030             1030               1030    8.7501e-20             -             -
                     Ebre:contig_37159:1481                 YR_only                  1             2249             2249               2249    9.2515e-20             -             -
                        Ebre:contig_52170:8                 YR_only                  1              501              501                501    2.3085e-19             -             -
                      Ebre:contig_133293:10                 YR_only                  1              875              875                875    1.2432e-18             -             -
                     Ebre:contig_133293:483                 YR_only                  1              875              875                875    1.2432e-18             -             -
                        Ebre:contig_68980:2                 YR_only                  1             1180             1180               1180    1.3165e-18             -             -
                      Ebre:contig_616294:73                 YR_only                  1              488              488                488    1.5042e-18             -             -
                      Ebre:contig_16263:211                 YR_only                  1             1420             1420               1420    1.5200e-18             -             -
                      Ebre:contig_16263:749                 YR_only                  1             1420             1420               1420    1.5200e-18             -             -
                      Ebre:contig_18597:265                 YR_only                  1              866              866                866    2.8544e-18             -             -
                     Ebre:contig_177912:172                 YR_only                  1              931              931                931    3.3556e-18             -             -
                     Ebre:contig_196080:100                 YR_only                  1              891              891                891    4.1877e-18             -             -
                      Ebre:contig_133292:19                 YR_only                  1              624              624                624    5.3852e-18             -             -
                      Ebre:contig_60456:555                 YR_only                  1             1203             1203               1203    9.6612e-18             -             -
                      Ebre:contig_60456:139                 YR_only                  1             1203             1203               1203    9.6612e-18             -             -
                      Ebre:contig_283234:32                 YR_only                  1              888              888                888    1.4372e-17             -             -
                     Ebre:contig_184262:290                 YR_only                  1              919              919                919    1.5741e-17             -             -
                      Ebre:contig_88088:397                 YR_only                  1             1008             1008               1008    1.9694e-17             -             -
                       Ebre:contig_70500:29                 YR_only                  1              898              898                898    2.7580e-17             -             -
                     Ebre:contig_277653:149                 YR_only                  1              428              428                428    3.1210e-17             -             -
                      Ebre:contig_10126:407                 YR_only                  1             1100             1100               1100    3.3469e-17             -             -
                      Ebre:contig_608269:19                 YR_only                  1              352              352                352    5.1523e-17             -             -
                      Ebre:contig_88320:356                 YR_only                  1             1110             1110               1110    6.3904e-17             -             -
                     Ebre:contig_359294:580                 YR_only                  1             1237             1237               1237    8.5107e-17             -             -
                     Ebre:contig_400229:303                 YR_only                  1              617              617                617    1.2564e-16             -             -
                     Ebre:contig_176309:497                 YR_only                  1             1202             1202               1202    1.4670e-16             -             -
                        Ebre:contig_46652:5                 YR_only                  1              745              745                745    3.2516e-16             -             -
                      Ebre:contig_69534:540                 YR_only                  1             1216             1216               1216    3.7986e-16             -             -
                      Ebre:contig_69534:190                 YR_only                  1             1216             1216               1216    3.7986e-16             -             -
                       Ebre:contig_271374:9                 YR_only                  1              632              632                632    4.7223e-16             -             -
                       Ebre:contig_58642:80             two_domains                  1             1859             1859               1859    4.8327e-16             -    1.3465e-24
                      Ebre:contig_74287:416                 YR_only                  1             1714             1714               1714    4.8360e-16             -             -
                      Ebre:contig_74287:159                 YR_only                  1             1714             1714               1714    4.8360e-16             -             -
                       Ebre:contig_75826:48                    DIRS                  1             1810             1810               1810    6.0734e-16    5.5572e-05    2.2630e-36
                       Ebre:contig_214787:4                 YR_only                  1              514              514                514    6.8061e-16             -             -
                     Ebre:contig_233512:194                 YR_only                  1              663              663                663    6.9557e-16             -             -
                       Ebre:contig_326995:1                 YR_only                  1              665              665                665    8.8358e-16             -             -
                     Ebre:contig_326995:492                 YR_only                  1              665              665                665    8.8358e-16             -             -
                       Ebre:contig_3517:197                 YR_only                  1             1335             1335               1335    9.3217e-16             -             -
                      Ebre:contig_22687:679                 YR_only                  1             4450             4450               4450    1.1399e-15             -             -
                       Ebre:contig_173489:2                 YR_only                  1              685              685                685    1.4145e-15             -             -
                     Ebre:contig_231127:114                 YR_only                  1              919              919                919    2.4459e-15             -             -
                       Ebre:contig_325310:8                 YR_only                  1              555              555                555    3.7386e-15             -             -
                      Ebre:contig_30646:460                 YR_only                  1             1584             1584               1584    3.7724e-15             -             -
                      Ebre:contig_557683:54                 YR_only                  1              916              916                916    4.6478e-15             -             -
                      Ebre:contig_185962:15                 YR_only                  1              530              530                530    4.8671e-15             -             -
                     Ebre:contig_110954:906                 YR_only                  1             1470             1470               1470    5.7652e-15             -             -
                      Ebre:contig_142815:49                 YR_only                  1              487              487                487    8.6349e-15             -             -
                        Ebre:contig_89907:2             two_domains                  1             1527             1527               1527    1.9031e-14             -    1.4838e-36
                      Ebre:contig_89907:403             two_domains                  1             1527             1527               1527    1.9031e-14             -    1.4838e-36
                      Ebre:contig_561590:83                 YR_only                  1              281              281                281    2.2354e-14             -             -
                      Ebre:contig_579149:74                 YR_only                  1              522              522                522    2.4542e-14             -             -
                     Ebre:contig_159202:789                 YR_only                  1             1320             1320               1320    2.8996e-14             -             -
                        Ebre:contig_48002:2                 YR_only                  1              602              602                602    2.9542e-14             -             -
                     Ebre:contig_173527:172                 YR_only                  1              685              685                685    3.6532e-14             -             -
                     Ebre:contig_108234:143                    DIRS                  1             2521             2521               2521    3.7712e-14    5.2550e-06    1.6246e-12
                      Ebre:contig_264584:93                 YR_only                  1              482              482                482    4.3848e-14             -             -
                     Ebre:contig_319328:396                 YR_only                  1             1079             1079               1079    4.6373e-14             -             -
                      Ebre:contig_319328:69                 YR_only                  1             1079             1079               1079    3.8260e-03             -             -
                     Ebre:contig_319328:157                 YR_only                  1             1079             1079               1079    3.8260e-03             -             -
                      Ebre:contig_43710:222                 YR_only                  1              675              675                675    4.8602e-14             -             -
                     Ebre:contig_304333:744                 YR_only                  1             1555             1555               1555    5.4156e-14             -             -
                      Ebre:contig_304333:86                 YR_only                  1             1555             1555               1555    5.4156e-14             -             -
                     Ebre:contig_357760:187                 YR_only                  1              487              487                487    6.2205e-14             -             -
                     Ebre:contig_144259:694                 YR_only                  1             1636             1636               1636    6.8465e-14             -             -
                     Ebre:contig_189533:223                    DIRS                  1             2693             2693               2693    9.1169e-14    3.2532e-36    4.7169e-32
                    Ebre:contig_180197:1753                 YR_only                  1             2974             2974               2974    1.5021e-13             -             -
                    Ebre:contig_180197:2364                 YR_only                  1             2974             2974               2974    1.5021e-13             -             -
                     Ebre:contig_120797:602                 YR_only                  1             1792             1792               1792    1.6479e-13             -             -
                       Ebre:contig_117065:6                 YR_only                  1              910              910                910    1.6481e-13             -             -
                      Ebre:contig_48913:475             two_domains                  1              836              836                836    1.9021e-13             -    7.5086e-31
                     Ebre:contig_183337:162                 YR_only                  1              599              599                599    2.1370e-13             -             -
                       Ebre:contig_248061:6                 YR_only                  1              510              510                510    2.4331e-13             -             -
                       Ebre:contig_477035:3                 YR_only                  1              488              488                488    8.8452e-13             -             -
                     Ebre:contig_278925:213                 YR_only                  1              630              630                630    2.3137e-12             -             -
                      Ebre:contig_48912:688             two_domains                  1             1040             1040               1040    2.9522e-12             -    5.5317e-33
                      Ebre:contig_23208:186                 YR_only                  1              625              625                625    3.2241e-12             -             -
                     Ebre:contig_159973:211                 YR_only                  1              948              948                948    3.4031e-12             -             -
                     Ebre:contig_347061:453                 YR_only                  1             1316             1316               1316    3.5892e-12             -             -
                     Ebre:contig_347061:181                 YR_only                  1             1316             1316               1316    3.5892e-12             -             -
                      Ebre:contig_254809:83                 YR_only                  1              535              535                535    3.6852e-12             -             -
                      Ebre:contig_254809:21                 YR_only                  1              535              535                535    2.0429e-03             -             -
                      Ebre:contig_111237:11                 YR_only                  1              448              448                448    4.2643e-12             -             -
                      Ebre:contig_636573:82                 YR_only                  1              280              280                280    4.5991e-12             -             -
                      Ebre:contig_605509:13                 YR_only                  1              269              269                269    6.3168e-12             -             -
                       Ebre:contig_64615:16                 YR_only                  1              363              363                363    7.1669e-12             -             -
                       Ebre:contig_10641:53                    DIRS                  1             2053             2053               2053    9.9350e-12    1.9390e-33    7.5230e-10
                      Ebre:contig_10641:235                    DIRS                  1             2053             2053               2053    9.9350e-12    1.9390e-33    7.5230e-10
                     Ebre:contig_425275:162                 YR_only                  1             1188             1188               1188    1.0316e-11             -             -
                      Ebre:contig_164810:35                 YR_only                  1              858              858                858    1.0467e-11             -             -
                        Ebre:contig_26487:3                 YR_only                  1              355              355                355    1.3756e-11             -             -
                        Ebre:contig_3433:74                    DIRS                  1             2800             2800               2800    2.2236e-11    1.8260e-39    4.9699e-29
                     Ebre:contig_175493:448                 YR_only                  1              909              909                909    3.0775e-11             -             -
                     Ebre:contig_175493:143                 YR_only                  1              909              909                909    1.7597e-07             -             -
                    Ebre:contig_108522:1609                 YR_only                  1             2889             2889               2889    6.0349e-11             -             -
                     Ebre:contig_202896:236                 YR_only                  1              734              734                734    8.0026e-11             -             -
                       Ebre:contig_570168:2                 YR_only                  1              626              626                626    8.8332e-11             -             -
                      Ebre:contig_263821:21                 YR_only                  1              811              811                811    8.9187e-11             -             -
                     Ebre:contig_263821:436                 YR_only                  1              811              811                811    8.9187e-11             -             -
                     Ebre:contig_97222:1664                 YR_only                  1             2186             2186               2186    1.0353e-10             -             -
                     Ebre:contig_97222:1617                 YR_only                  1             2186             2186               2186    1.0353e-10             -             -
                     Ebre:contig_334046:118                 YR_only                  1              556              556                556    1.0550e-10             -             -
                     Ebre:contig_135873:309                 YR_only                  1             1144             1144               1144    1.2865e-10             -             -
                     Ebre:contig_135873:899                 YR_only                  1             1144             1144               1144    8.4195e-04             -             -
                      Ebre:contig_360183:58                 YR_only                  1              441              441                441    1.6167e-10             -             -
                       Ebre:contig_286149:8                 YR_only                  1              517              517                517    1.8949e-10             -             -
                     Ebre:contig_474516:289                 YR_only                  1              540              540                540    2.0025e-10             -             -
                     Ebre:contig_347446:177                 YR_only                  1             1000             1000               1000    2.5855e-10             -             -
                       Ebre:contig_90950:28                 YR_only                  1              445              445                445    3.1807e-10             -             -
                       Ebre:contig_10686:24                 YR_only                  1              378              378                378    3.8969e-10             -             -
                       Ebre:contig_108432:3                    DIRS                  1             3412             3412               3412    4.5024e-10    9.2396e-36    1.1855e-30
                      Ebre:contig_425959:55                 YR_only                  1              488              488                488    4.8195e-10             -             -
                      Ebre:contig_261980:21                 YR_only                  1              496              496                496    6.6928e-10             -             -
                      Ebre:contig_280454:67                 YR_only                  1              329              329                329    7.0428e-10             -             -
                      Ebre:contig_290910:75                 YR_only                  1              849              849                849    7.1992e-10             -             -
                     Ebre:contig_81922:2139                 YR_only                  1             2610             2610               2610    7.6219e-10             -             -
                     Ebre:contig_432501:134                 YR_only                  1              413              413                413    7.9935e-10             -             -
                      Ebre:contig_446820:12                 YR_only                  1             1453             1453               1453    1.0079e-09             -             -
                       Ebre:contig_42558:65                 YR_only                  1              571              571                571    1.0914e-09             -             -
                      Ebre:contig_10685:255                 YR_only                  1              597              597                597    1.1528e-09             -             -
                     Ebre:contig_221694:515                 YR_only                  1              940              940                940    1.1762e-09             -             -
                      Ebre:contig_434029:58                 YR_only                  1              287              287                287    1.7907e-09             -             -
                      Ebre:contig_154033:71                 YR_only                  1              884              884                884    2.0288e-09             -             -
                        Ebre:contig_3546:61                 YR_only                  1              379              379                379    2.0419e-09             -             -
                     Ebre:contig_355434:230                 YR_only                  1              417              417                417    2.1695e-09             -             -
                      Ebre:contig_534548:96                 YR_only                  1              467              467                467    2.3536e-09             -             -
                       Ebre:contig_208632:6                 YR_only                  1             1827             1827               1827    2.3709e-09             -             -
                       Ebre:contig_435167:2                 YR_only                  1              216              216                216    2.4017e-09             -             -
                       Ebre:contig_10128:13                 YR_only                  1              695              695                695    2.6544e-09             -             -
                      Ebre:contig_10128:446                 YR_only                  1              695              695                695    2.6544e-09             -             -
                      Ebre:contig_55456:895                 YR_only                  1             1749             1749               1749    3.0863e-09             -             -
                     Ebre:contig_55456:1395                 YR_only                  1             1749             1749               1749    3.0863e-09             -             -
                      Ebre:contig_276065:17                 YR_only                  1              272              272                272    3.4182e-09             -             -
                      Ebre:contig_485752:50                 YR_only                  1              371              371                371    5.3586e-09             -             -
                      Ebre:contig_111190:28                 YR_only                  1              404              404                404    5.5964e-09             -             -
                     Ebre:contig_463037:378                 YR_only                  1              588              588                588    5.7518e-09             -             -
                      Ebre:contig_254839:33                 YR_only                  1              261              261                261    6.4800e-09             -             -
                      Ebre:contig_263822:28                 YR_only                  1              645              645                645    8.8277e-09             -             -
                     Ebre:contig_263057:274                 YR_only                  1              480              480                480    8.9370e-09             -             -
                     Ebre:contig_647876:278                 YR_only                  1              663              663                663    9.1403e-09             -             -
                     Ebre:contig_588695:179                 YR_only                  1              609              609                609    1.1365e-08             -             -
                       Ebre:contig_735760:7                 YR_only                  1              437              437                437    1.1394e-08             -             -
                       Ebre:contig_219853:7                 YR_only                  1              292              292                292    1.2790e-08             -             -
                     Ebre:contig_155286:790                 YR_only                  1             1298             1298               1298    1.3641e-08             -             -
                       Ebre:contig_193476:1                 YR_only                  1              393              393                393    1.4606e-08             -             -
                     Ebre:contig_278650:210                 YR_only                  1              455              455                455    1.6256e-08             -             -
                       Ebre:contig_475988:7                 YR_only                  1              219              219                219    1.6981e-08             -             -
                       Ebre:contig_65629:21                 YR_only                  1              248              248                248    1.7104e-08             -             -
                      Ebre:contig_90949:191                 YR_only                  1             1080             1080               1080    1.8617e-08             -             -
                      Ebre:contig_293734:10                 YR_only                  1              538              538                538    1.8869e-08             -             -
                     Ebre:contig_227806:225                 YR_only                  1              490              490                490    2.3956e-08             -             -
                      Ebre:contig_136154:10                 YR_only                  1              431              431                431    2.9586e-08             -             -
                       Ebre:contig_373326:2                 YR_only                  1              468              468                468    3.1494e-08             -             -
                      Ebre:contig_386074:53                 YR_only                  1              233              233                233    3.2502e-08             -             -
                     Ebre:contig_108294:215                 YR_only                  1              520              520                520    3.4730e-08             -             -
                       Ebre:contig_221312:2                 YR_only                  1              544              544                544    3.6509e-08             -             -
                     Ebre:contig_494545:159                 YR_only                  1              583              583                583    3.9043e-08             -             -
                      Ebre:contig_33681:765                 YR_only                  1             1636             1636               1636    4.0164e-08             -             -
                       Ebre:contig_381688:3                 YR_only                  1              484              484                484    4.4860e-08             -             -
                       Ebre:contig_355905:4                 YR_only                  1              248              248                248    4.5173e-08             -             -
                     Ebre:contig_532861:241                 YR_only                  1              729              729                729    4.6633e-08             -             -
                      Ebre:contig_532861:39                 YR_only                  1              729              729                729    4.6633e-08             -             -
                      Ebre:contig_359051:30                 YR_only                  1              301              301                301    4.7112e-08             -             -
                       Ebre:contig_171407:3                 YR_only                  1              869              869                869    4.7478e-08             -             -
                      Ebre:contig_144799:67                 YR_only                  1              384              384                384    5.2410e-08             -             -
                      Ebre:contig_264583:64                 YR_only                  1              605              605                605    5.6525e-08             -             -
                       Ebre:contig_224465:2                 YR_only                  1              617              617                617    7.9060e-08             -             -
                      Ebre:contig_40935:583                 YR_only                  1             1040             1040               1040    8.4122e-08             -             -
                     Ebre:contig_277769:207                 YR_only                  1              983              983                983    1.0632e-07             -             -
                      Ebre:contig_211972:81                 YR_only                  1              443              443                443    1.1031e-07             -             -
                       Ebre:contig_546093:3                 YR_only                  1              222              222                222    1.1805e-07             -             -
                       Ebre:contig_485217:2                 YR_only                  1              270              270                270    1.2001e-07             -             -
                       Ebre:contig_123538:4                 YR_only                  1              271              271                271    1.2079e-07             -             -
                     Ebre:contig_229655:331                 YR_only                  1              574              574                574    1.3777e-07             -             -
                      Ebre:contig_230803:13                 YR_only                  1              669              669                669    1.6435e-07             -             -
                       Ebre:contig_274812:2                 YR_only                  1              324              324                324    1.7400e-07             -             -
                      Ebre:contig_714593:29                 YR_only                  1              356              356                356    1.8211e-07             -             -
                       Ebre:contig_474016:9                 YR_only                  1              365              365                365    1.8440e-07             -             -
                     Ebre:contig_274979:451                 YR_only                  1             1205             1205               1205    1.9276e-07             -             -
                     Ebre:contig_645367:309                 YR_only                  1              438              438                438    2.0601e-07             -             -
                      Ebre:contig_30406:331                 YR_only                  1             1485             1485               1485    2.0662e-07             -             -
                      Ebre:contig_711271:10                 YR_only                  1              241              241                241    2.2512e-07             -             -
                       Ebre:contig_168801:5                 YR_only                  1              201              201                201    2.2520e-07             -             -
                      Ebre:contig_42601:438                 YR_only                  1              680              680                680    2.2899e-07             -             -
                       Ebre:contig_582751:8                 YR_only                  1              273              273                273    2.2956e-07             -             -
                      Ebre:contig_182980:47                 YR_only                  1              304              304                304    2.3513e-07             -             -
                     Ebre:contig_349788:195                 YR_only                  1              325              325                325    2.3974e-07             -             -
                       Ebre:contig_353849:2                 YR_only                  1              556              556                556    2.5199e-07             -             -
                     Ebre:contig_361540:147                 YR_only                  1              536              536                536    3.3540e-07             -             -
                      Ebre:contig_38986:297                 YR_only                  1              668              668                668    4.2352e-07             -             -
                     Ebre:contig_147134:113                 YR_only                  1              238              238                238    4.2732e-07             -             -
                     Ebre:contig_203894:219             two_domains                  1             1175             1175               1175    4.6623e-07             -    4.7317e-12
                     Ebre:contig_177621:158                 YR_only                  1              588              588                588    5.0549e-07             -             -
                      Ebre:contig_496453:17                 YR_only                  1              411              411                411    5.1369e-07             -             -
                     Ebre:contig_852603:134                 YR_only                  1              473              473                473    5.6837e-07             -             -
                      Ebre:contig_359052:24                 YR_only                  1              244              244                244    5.8840e-07             -             -
                      Ebre:contig_216748:79                 YR_only                  1              336              336                336    6.3877e-07             -             -
                     Ebre:contig_257834:768                 YR_only                  1             1203             1203               1203    6.5321e-07             -             -
                     Ebre:contig_257834:214                 YR_only                  1             1203             1203               1203    1.6694e-03             -             -
                     Ebre:contig_308564:199                 YR_only                  1              749              749                749    6.6144e-07             -             -
                       Ebre:contig_120825:1                 YR_only                  1              399              399                399    6.9660e-07             -             -
                       Ebre:contig_272367:2                 YR_only                  1              697              697                697    8.2946e-07             -             -
                      Ebre:contig_160791:74                 YR_only                  1              517              517                517    8.4127e-07             -             -
                     Ebre:contig_201369:396                 YR_only                  1              761              761                761    9.1615e-07             -             -
                      Ebre:contig_141736:78                 YR_only                  1              441              441                441    1.0115e-06             -             -
                     Ebre:contig_145168:323                 YR_only                  1              449              449                449    1.0260e-06             -             -
                      Ebre:contig_258055:88                 YR_only                  1              323              323                323    1.1829e-06             -             -
                       Ebre:contig_225368:3                 YR_only                  1              624              624                624    1.3803e-06             -             -
                     Ebre:contig_120824:472                 YR_only                  1              869              869                869    1.4609e-06             -             -
                       Ebre:contig_57630:27                 YR_only                  1              225              225                225    1.5295e-06             -             -
                     Ebre:contig_335538:558                 YR_only                  1              951              951                951    1.6254e-06             -             -
